announcement_date,effective_date,index,action,ticker,company_name
2025-09-05,2025-09-22,ASX200,Addition,SLC,Superloop Limited
2025-09-05,2025-09-22,ASX200,Addition,TUA,Tuas Limited
2025-09-05,2025-09-22,ASX200,Removal,AOV,Amotiv Limited
2025-09-05,2025-09-22,ASX200,Removal,CCP,Credit Corp Group Limited
2025-09-05,2025-09-22,ASX200,Removal,CU6,Clarity Pharmaceuticals Limited
2025-09-05,2025-09-22,ASX200,Removal,LIC,Lifestyle Communities Limited
2025-09-05,2025-09-22,ASX200,Removal,MAQ,Macquarie Technology Group Limited
2025-09-05,2025-09-22,ASX200,Removal,NUF,Nufarm Limited
2025-09-05,2025-09-22,ASX200,Removal,NXL,Nuix Limited
2025-09-05,2025-09-22,ASX200,Removal,PNV,PolyNovo Limited
2025-09-05,2025-09-22,ASX200,Removal,SIQ,Smartgroup Corporation Limited
2025-12-05,2025-12-22,ASX200,Addition,ABB,Aussie Broadband Limited
2025-12-05,2025-12-22,ASX200,Addition,NXG,Nexgen Energy (Canada) Limited
2025-12-05,2025-12-22,ASX200,Addition,OBM,Ora Banda Mining Limited
2025-12-05,2025-12-22,ASX200,Addition,PNR,Pantoro Gold Limited
2025-12-05,2025-12-22,ASX200,Addition,RSG,Resolute Mining Limited
2025-12-05,2025-12-22,ASX200,Addition,SLX,Silex Systems Limited
2025-12-05,2025-12-22,ASX200,Removal,BAP,Bapcor Limited
2025-12-05,2025-12-22,ASX200,Removal,BOE,Boss Energy Limited
2025-12-05,2025-12-22,ASX200,Removal,CTD,Corporate Travel Management Limited
2025-12-05,2025-12-22,ASX200,Removal,HMC,HMC Capital Limited
2025-12-05,2025-12-22,ASX200,Removal,ING,Inghams Group Limited
2025-12-05,2025-12-22,ASX200,Removal,IPH,IPH Limited
