ticker,n_events,actions,first_ann,last_ann,company_name,in_yahoo,in_fmp,has_price
URW,1,Removal,2022-03-04,2022-03-04,Unibail-Rodamco-Westfield,True,True,True
UWL,1,Removal,2022-07-15,2022-07-15,,False,False,False
VAH,1,Removal,2014-03-07,2014-03-07,Virgin Australia Holdings Limited,False,False,False
VEA,1,Addition,2018-09-10,2018-09-10,,True,True,True
VED,2,"Addition,Removal",2014-03-07,2016-02-04,Veda Group Limited,False,False,False
VNT,1,Addition,2023-07-18,2023-07-18,,True,True,True
VOC,2,"Addition,Removal",2014-12-05,2021-06-22,Vocus Communications Limited,False,False,False
VRL,2,"Addition,Removal",2013-12-06,2016-09-02,Village Roadshow Limited,True,True,True
VRT,2,"Addition,Removal",2013-12-06,2017-09-01,Virtus Health Limited,False,False,False
VUK,1,Removal,2024-09-18,2024-09-18,,True,True,True
VUL,1,Addition,2026-03-06,2026-03-06,Vulcan Energy Resources Limited,True,True,True
VVR,1,Addition,2016-12-05,2016-12-05,,False,False,False
WAF,1,Addition,2022-07-15,2022-07-15,,True,True,True
WBT,2,"Addition,Removal",2023-09-01,2024-03-01,Weebit Nano Limited,True,True,True
WEB,2,"Addition,Removal",2016-09-02,2026-06-05,Webjet Limited,True,True,True
WEC,1,Removal,2012-03-02,2012-03-02,White Energy Company Limited,True,True,True
WES,1,Addition,2018-11-14,2018-11-14,,True,True,True
WFD,1,Removal,2018-05-24,2018-05-24,,False,False,False
WGX,1,Addition,2024-09-06,2024-09-06,Westgold Resources Limited,True,True,True
WOW,1,Addition,2021-06-18,2021-06-18,,True,True,True
WTC,1,Addition,2017-12-08,2017-12-08,WiseTech Global Limited,True,True,True
WTF,1,Removal,2014-10-08,2014-10-08,,False,False,False
XRO,1,Addition,2018-03-09,2018-03-09,Xero Limited,True,True,True
YAL,1,Addition,2024-09-06,2024-09-06,Yancoal Australia Limited,True,True,True
ZIP,1,Removal,2022-09-02,2022-09-02,ZIP Co Limited,True,True,True
